Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM主动推理,0.000000,10.492837,0.000000,0.000000
原EUDM,0.000000,10.382802,0.000000,0.000000
MPDM,0.135770,14.581673,0.000000,0.000000
