Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.046206 +- 0.021177,10.130104 +- 0.205447,0.000000 +- 0.000000,10.141379 +- 6.040587
MPDM,0.054157 +- 0.005063,10.543777 +- 0.036159,0.871504 +- 0.425818,1.109554 +- 0.633361
