metric,eudm_ai,eudm_base,mpdm
unsafe_ratio,0.015375616278098104,0.030318215985968427,0.004428105940345894
average_velocity_mps,13.42360976973415,12.73121892398915,16.58989649496477
ud_per_km,0.0,0.0,0.0
lcc_per_km,0.0,0.0,0.0
distance_m,1605.9187681460735,1524.3325009795858,1985.478603796615
frames,11967,11973,11969
