[rosmaster.main][INFO] 2026-04-24 11:17:34,819: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-04-24 11:17:34,819: Starting ROS Master Node
[xmlrpc][INFO] 2026-04-24 11:17:34,820: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-04-24 11:17:34,820: Started XML-RPC server [http://ying-N8:11311/]
[xmlrpc][INFO] 2026-04-24 11:17:34,820: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-04-24 11:17:34,820: Master initialized: port[11311], uri[http://ying-N8:11311/]
[rosmaster.master][INFO] 2026-04-24 11:17:34,898: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,899: +PARAM [/roslaunch/uris/host_ying_n8__41959] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,942: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,942: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,942: +PARAM [/test_ssc_with_mpdm_0/ego_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/test_ssc_with_mpdm_0/agent_config_path] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/test_ssc_with_mpdm_0/ssc_config_path] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/test_ssc_with_mpdm_0/desired_vel] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/test_ssc_with_mpdm_0/use_sim_state] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/onlane_ai_agent_1/ego_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/onlane_ai_agent_1/agent_config_path] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/onlane_ai_agent_1/desired_vel] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/onlane_ai_agent_1/autonomous_level] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/onlane_ai_agent_1/aggressiveness_level] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,943: +PARAM [/onlane_ai_agent_2/ego_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,944: +PARAM [/onlane_ai_agent_2/agent_config_path] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,944: +PARAM [/onlane_ai_agent_2/desired_vel] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,944: +PARAM [/onlane_ai_agent_2/autonomous_level] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,944: +PARAM [/onlane_ai_agent_2/aggressiveness_level] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,944: +PARAM [/onlane_ai_agent_3/ego_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,944: +PARAM [/onlane_ai_agent_3/agent_config_path] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,944: +PARAM [/onlane_ai_agent_3/desired_vel] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,945: +PARAM [/onlane_ai_agent_3/autonomous_level] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,945: +PARAM [/onlane_ai_agent_3/aggressiveness_level] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,945: +PARAM [/onlane_ai_agent_4/ego_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,945: +PARAM [/onlane_ai_agent_4/agent_config_path] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,945: +PARAM [/onlane_ai_agent_4/desired_vel] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,945: +PARAM [/onlane_ai_agent_4/autonomous_level] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,945: +SERVICE [/rosout/get_loggers] /rosout http://ying-N8:34967/
[rosmaster.master][INFO] 2026-04-24 11:17:34,945: +PARAM [/onlane_ai_agent_4/aggressiveness_level] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,945: +PARAM [/onlane_ai_agent_5/ego_id] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,946: +SERVICE [/rosout/set_logger_level] /rosout http://ying-N8:34967/
[rosmaster.master][INFO] 2026-04-24 11:17:34,946: +PARAM [/onlane_ai_agent_5/agent_config_path] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,946: +PARAM [/onlane_ai_agent_5/desired_vel] by /roslaunch
[rosmaster.master][INFO] 2026-04-24 11:17:34,946: +PARAM [/onlane_ai_agent_5/autonomous_level] by /roslaunch
