metric,eudm_ai,eudm_base,mpdm
unsafe_ratio,0.01863613571786729,0.7226307872304863,0.26784221962226307
average_velocity_mps,13.841204920638093,12.408763425987384,12.248423871143428
ud_per_km,0.0,0.0,0.0
lcc_per_km,0.0,0.0,0.0
distance_m,1655.8747463205166,1485.156379452172,1465.5405440814327
frames,11966,11966,11966
