Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.034277 +- 0.000003,13.683225 +- 0.035727,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.024091 +- 0.000001,16.444834 +- 0.016557,0.914303 +- 0.040705,0.000000 +- 0.000000
