Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.034277 +- 0.001764,13.683225 +- 0.189017,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.024091 +- 0.001114,16.444834 +- 0.128674,0.914303 +- 0.201756,0.000000 +- 0.000000
