Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM_AI,0.000000 +- 0.000000,11.959578 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
EUDM_BASE,0.000000 +- 0.000000,11.830002 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.271540 +- 0.000000,15.144532 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
