Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.070046 +- 0.004762,12.163014 +- 0.163975,0.136201 +- 0.272402,0.138676 +- 0.277352
MPDM,0.027005 +- 0.001059,15.595380 +- 0.061745,0.973554 +- 0.406602,0.430880 +- 0.402069
