Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM_AI,0.044605 +- 0.031570,13.544409 +- 0.359804,0.000000 +- 0.000000,0.000000 +- 0.000000
EUDM_BASE,0.175681 +- 0.275589,13.045018 +- 0.100260,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.139951 +- 0.294330,13.291736 +- 1.078802,0.000000 +- 0.000000,0.000000 +- 0.000000
