Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.288468 +- 0.082279,5.461352 +- 0.217964,0.000000 +- 0.000000,26.741106 +- 893.138189
MPDM,0.014107 +- 0.000000,0.640875 +- 0.000137,12.912131 +- 0.050895,106.204909 +- 591.291053
