Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.288468 +- 0.286843,5.461352 +- 0.466867,0.000000 +- 0.000000,26.741106 +- 29.885418
MPDM,0.014107 +- 0.000261,0.640875 +- 0.011692,12.912131 +- 0.225600,106.204909 +- 24.316477
