Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.089556 +- 0.025326,13.126155 +- 0.526484,0.000000 +- 0.000000,0.448701 +- 0.706626
MPDM,0.043543 +- 0.005921,15.597559 +- 0.085034,1.499471 +- 0.317347,1.446561 +- 0.342726
