Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM_AI,0.020075 +- 0.017453,13.890620 +- 0.422997,0.000000 +- 0.000000,0.000000 +- 0.000000
EUDM_BASE,0.657415 +- 0.047549,13.215915 +- 0.007255,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.374817 +- 0.154308,13.097246 +- 0.009010,0.000000 +- 0.000000,0.127558 +- 0.255117
