Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM主动推理,0.000000,10.229894,0.000000,0.000000
原EUDM,0.000000,12.124226,0.000000,0.000000
MPDM,0.159658,12.878710,0.000000,0.000000
