Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM_AI,0.027427 +- 0.006941,14.128860 +- 0.468603,0.000000 +- 0.000000,0.000000 +- 0.000000
EUDM_BASE,0.346082 +- 0.124086,12.465967 +- 0.075189,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.788872 +- 0.038173,12.248996 +- 0.019135,0.000000 +- 0.000000,0.136601 +- 0.273203
