Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM_AI,0.000000 +- 0.000000,9.026096 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
EUDM_BASE,0.000000 +- 0.000000,8.935603 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.000000 +- 0.000000,14.018814 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
