Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.099219 +- 0.012897,12.908948 +- 0.469887,0.000000 +- 0.000000,7.125091 +- 2.461631
MPDM,0.055699 +- 0.014085,15.547761 +- 0.164398,1.020085 +- 0.441422,1.507270 +- 0.327822
