Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.056467 +- 0.001932,1.716692 +- 0.011937,4.405971 +- 1.468700,247.612128 +- 28.838190
MPDM,0.014213 +- 0.000264,0.648835 +- 0.005413,12.745759 +- 0.101073,109.652933 +- 9.007245
