Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.056467 +- 0.000004,1.716692 +- 0.000142,4.405971 +- 2.157080,247.612128 +- 831.641230
MPDM,0.014213 +- 0.000000,0.648835 +- 0.000029,12.745759 +- 0.010216,109.652933 +- 81.130465
