Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM_AI,0.000000 +- 0.000000,14.217144 +- 0.454848,0.000000 +- 0.000000,0.000000 +- 0.000000
EUDM_BASE,0.000000 +- 0.000000,14.567035 +- 0.314352,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.002774 +- 0.000266,16.396061 +- 0.134907,0.817521 +- 0.255419,0.000000 +- 0.000000
