Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM_AI,0.000000 +- 0.000000,11.822552 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
EUDM_BASE,0.000000 +- 0.000000,11.910643 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.319317 +- 0.000000,14.730988 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
