Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM_AI,0.000000 +- 0.000000,8.637236 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
EUDM_BASE,0.000000 +- 0.000000,12.337810 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.000000 +- 0.000000,11.026433 +- 0.000000,0.000000 +- 0.000000,0.000000 +- 0.000000
