metric,eudm,mpdm
unsafe_ratio,0.06790956639109161,0.02815714044849098
average_velocity_mps,11.878964192401822,15.536656793796542
ud_per_km,0.0,1.0846881994124358
lcc_per_km,0.0,0.0
distance_m,1408.5667006541435,1843.8478459370895
frames,11854,11862
