metric,eudm_ai,eudm_base,mpdm
unsafe_ratio,0.03743628311189103,0.0,0.0
average_velocity_mps,13.493058142760466,12.903729384924608,12.911441518543494
ud_per_km,0.0,0.0,0.0
lcc_per_km,0.0,0.0,0.0
distance_m,1614.3574629222003,1544.3290630649817,1544.6971698496818
frames,11967,11973,11966
