Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.067674 +- 0.000047,12.170984 +- 0.020736,0.137166 +- 0.075262,0.206287 +- 0.099301
MPDM,0.027462 +- 0.000001,15.593811 +- 0.003646,1.243746 +- 0.237447,0.323442 +- 0.127367
