Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM,0.067674 +- 0.006860,12.170984 +- 0.144002,0.137166 +- 0.274340,0.206287 +- 0.315120
MPDM,0.027462 +- 0.001046,15.593811 +- 0.060383,1.243746 +- 0.487286,0.323442 +- 0.356885
