Method,"Safety (unsafe ratio, ↓)","Efficiency (Ave. Vel m/s, ↑)","Comfort UD (/km, ↓)","Comfort LCC (/km, ↓)"
EUDM_AI,0.037346 +- 0.023067,13.929831 +- 0.316800,0.000000 +- 0.000000,0.000000 +- 0.000000
EUDM_BASE,0.039611 +- 0.016632,13.216711 +- 0.021883,0.000000 +- 0.000000,0.000000 +- 0.000000
MPDM,0.039902 +- 0.004765,13.101729 +- 0.003179,0.000000 +- 0.000000,0.000000 +- 0.000000
